threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,47.306451519330345,2000,0,3818,182
0.15,47.306451519330345,1996,4,3972,28
0.16,47.306451519330345,1995,5,3982,18
0.17,47.306451519330345,1993,7,3989,11
0.18,47.306451519330345,1993,7,3993,7
0.19,47.306451519330345,1990,10,3996,4
0.2,47.306451519330345,1989,11,3997,3
0.21,47.306451519330345,1984,16,3998,2
0.22,47.306451519330345,1982,18,3999,1
0.23,47.306451519330345,1977,23,3999,1
0.24,47.306451519330345,1970,30,4000,0
0.25,47.306451519330345,1963,37,4000,0
0.26,47.306451519330345,1959,41,4000,0
0.27,47.306451519330345,1947,53,4000,0
0.28,47.306451519330345,1935,65,4000,0
0.29,47.306451519330345,1927,73,4000,0
0.3,47.306451519330345,1917,83,4000,0
0.4,47.306451519330345,1726,274,4000,0
