threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,48.97445619106293,2000,0,3722,278
0.15,48.97445619106293,1999,1,3942,58
0.16,48.97445619106293,1998,2,3957,43
0.17,48.97445619106293,1996,4,3974,26
0.18,48.97445619106293,1993,7,3980,20
0.19,48.97445619106293,1990,10,3985,15
0.2,48.97445619106293,1989,11,3986,14
0.21,48.97445619106293,1987,13,3992,8
0.22,48.97445619106293,1985,15,3997,3
0.23,48.97445619106293,1980,20,3998,2
0.24,48.97445619106293,1979,21,3998,2
0.25,48.97445619106293,1974,26,3998,2
0.26,48.97445619106293,1971,29,3998,2
0.27,48.97445619106293,1959,41,3998,2
0.28,48.97445619106293,1945,55,4000,0
0.29,48.97445619106293,1932,68,4000,0
0.3,48.97445619106293,1914,86,4000,0
0.4,48.97445619106293,1720,280,4000,0
