threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,57.36369228363037,2000,0,3631,369
0.15,57.36369228363037,1999,1,3903,97
0.16,57.36369228363037,1999,1,3924,76
0.17,57.36369228363037,1999,1,3948,52
0.18,57.36369228363037,1997,3,3958,42
0.19,57.36369228363037,1993,7,3974,26
0.2,57.36369228363037,1986,14,3986,14
0.21,57.36369228363037,1983,17,3992,8
0.22,57.36369228363037,1980,20,3995,5
0.23,57.36369228363037,1977,23,3998,2
0.24,57.36369228363037,1973,27,3998,2
0.25,57.36369228363037,1969,31,3998,2
0.26,57.36369228363037,1958,42,3998,2
0.27,57.36369228363037,1947,53,4000,0
0.28,57.36369228363037,1932,68,4000,0
0.29,57.36369228363037,1923,77,4000,0
0.3,57.36369228363037,1910,90,4000,0
0.4,57.36369228363037,1688,312,4000,0
