threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,50.849108060201004,500,0,940,60
0.15,50.849108060201004,500,0,986,14
0.16,50.849108060201004,500,0,989,11
0.17,50.849108060201004,500,0,991,9
0.18,50.849108060201004,499,1,993,7
0.19,50.849108060201004,499,1,996,4
0.2,50.849108060201004,499,1,998,2
0.21,50.849108060201004,499,1,998,2
0.22,50.849108060201004,499,1,999,1
0.23,50.849108060201004,499,1,1000,0
0.24,50.849108060201004,499,1,1000,0
0.25,50.849108060201004,499,1,1000,0
0.26,50.849108060201004,498,2,1000,0
0.27,50.849108060201004,496,4,1000,0
0.28,50.849108060201004,496,4,1000,0
0.29,50.849108060201004,493,7,1000,0
0.3,50.849108060201004,489,11,1000,0
0.4,50.849108060201004,439,61,1000,0
