threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,53.2861655553182,500,0,946,54
0.15,53.2861655553182,500,0,990,10
0.16,53.2861655553182,500,0,994,6
0.17,53.2861655553182,500,0,997,3
0.18,53.2861655553182,500,0,997,3
0.19,53.2861655553182,500,0,997,3
0.2,53.2861655553182,500,0,997,3
0.21,53.2861655553182,500,0,999,1
0.22,53.2861655553182,500,0,999,1
0.23,53.2861655553182,500,0,999,1
0.24,53.2861655553182,500,0,1000,0
0.25,53.2861655553182,499,1,1000,0
0.26,53.2861655553182,499,1,1000,0
0.27,53.2861655553182,499,1,1000,0
0.28,53.2861655553182,499,1,1000,0
0.29,53.2861655553182,498,2,1000,0
0.3,53.2861655553182,498,2,1000,0
0.4,53.2861655553182,469,31,1000,0
