threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,49.41109085083008,999,1,1886,114
0.15,49.41109085083008,999,1,1981,19
0.16,49.41109085083008,999,1,1986,14
0.17,49.41109085083008,998,2,1990,10
0.18,49.41109085083008,998,2,1995,5
0.19,49.41109085083008,998,2,1997,3
0.2,49.41109085083008,998,2,1998,2
0.21,49.41109085083008,998,2,1999,1
0.22,49.41109085083008,998,2,2000,0
0.23,49.41109085083008,998,2,2000,0
0.24,49.41109085083008,998,2,2000,0
0.25,49.41109085083008,998,2,2000,0
0.26,49.41109085083008,997,3,2000,0
0.27,49.41109085083008,997,3,2000,0
0.28,49.41109085083008,995,5,2000,0
0.29,49.41109085083008,995,5,2000,0
0.3,49.41109085083008,992,8,2000,0
0.4,49.41109085083008,951,49,2000,0
