threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,48.509327332178756,999,1,1882,118
0.15,48.509327332178756,999,1,1978,22
0.16,48.509327332178756,999,1,1984,16
0.17,48.509327332178756,999,1,1989,11
0.18,48.509327332178756,998,2,1994,6
0.19,48.509327332178756,998,2,1995,5
0.2,48.509327332178756,998,2,1997,3
0.21,48.509327332178756,997,3,2000,0
0.22,48.509327332178756,997,3,2000,0
0.23,48.509327332178756,995,5,2000,0
0.24,48.509327332178756,995,5,2000,0
0.25,48.509327332178756,995,5,2000,0
0.26,48.509327332178756,994,6,2000,0
0.27,48.509327332178756,993,7,2000,0
0.28,48.509327332178756,993,7,2000,0
0.29,48.509327332178756,990,10,2000,0
0.3,48.509327332178756,989,11,2000,0
0.4,48.509327332178756,934,66,2000,0
