threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,58.51287921269735,999,1,1836,164
0.15,58.51287921269735,999,1,1960,40
0.16,58.51287921269735,997,3,1964,36
0.17,58.51287921269735,996,4,1974,26
0.18,58.51287921269735,996,4,1979,21
0.19,58.51287921269735,996,4,1985,15
0.2,58.51287921269735,996,4,1989,11
0.21,58.51287921269735,996,4,1992,8
0.22,58.51287921269735,994,6,1993,7
0.23,58.51287921269735,993,7,1994,6
0.24,58.51287921269735,993,7,1998,2
0.25,58.51287921269735,993,7,1998,2
0.26,58.51287921269735,992,8,2000,0
0.27,58.51287921269735,990,10,2000,0
0.28,58.51287921269735,989,11,2000,0
0.29,58.51287921269735,988,12,2000,0
0.3,58.51287921269735,988,12,2000,0
0.4,58.51287921269735,928,72,2000,0
