threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,50.39678970972697,999,1,1914,86
0.15,50.39678970972697,998,2,1986,14
0.16,50.39678970972697,998,2,1991,9
0.17,50.39678970972697,998,2,1995,5
0.18,50.39678970972697,998,2,1996,4
0.19,50.39678970972697,997,3,1998,2
0.2,50.39678970972697,996,4,1998,2
0.21,50.39678970972697,996,4,1998,2
0.22,50.39678970972697,996,4,1999,1
0.23,50.39678970972697,996,4,1999,1
0.24,50.39678970972697,996,4,2000,0
0.25,50.39678970972697,995,5,2000,0
0.26,50.39678970972697,994,6,2000,0
0.27,50.39678970972697,994,6,2000,0
0.28,50.39678970972697,993,7,2000,0
0.29,50.39678970972697,993,7,2000,0
0.3,50.39678970972697,993,7,2000,0
0.4,50.39678970972697,959,41,2000,0
